prompt1	[a rock in the shape of a coffee mug,a coffee mug in the shape of a rock,a rock,a coffee mug]
prompt2	[a rock in the shape of a cute dog,a cute dog in the shape of a rock,a rock,a cute dog]
prompt3	[a rock in the shape of a pink cat,a pink cat in the shape of a rock,a rock,a pink cat]
prompt4	[a rock in the shape of a teddy bear,a teddy bear in the shape of a rock,a rock,a teddy bear]
prompt5	[a rock in the shape of a robot,a robot in the shape of a rock,a rock,a robot]
prompt6	[a rock in the shape of an alien,an alien in the shape of a rock,a rock,an alien]
prompt7	[a rock in the shape of an avocado,an avocado in the shape of a rock,a rock,an avocado]
prompt8	[a rock in the shape of a cute raccoon,a cute raccoon in the shape of a rock,a rock,a cute raccoon]
prompt9	[a rock in the shape of a corgi dog,a corgi dog in the shape of a rock,a rock,a corgi dog]
prompt10	[a rock in the shape of a parrot,a parrot in the shape of a rock,a rock,a parrot]
prompt11	[a rock in the shape of a car,a car in the shape of a rock,a rock,a car]
prompt12	[a rock in the shape of a squirrel,a squirrel in the shape of a rock,a rock,a squirrel]
prompt13	[a rock in the shape of a cute rabbit,a cute rabbit in the shape of a rock,a rock,a cute rabbit]
prompt14	[a rock in the shape of pizza,pizza in the shape of a rock,a rock,pizza]
prompt15	[a rock in the shape of muffin,muffin in the shape of a rock,a rock,muffin]
prompt16	[a rock in the shape of icecream,icecream in the shape of a rock,a rock,icecream]
prompt17	[a coffee mug in the shape of a cute dog,a cute dog in the shape of a coffee mug,a coffee mug,a cute dog]
prompt18	[a coffee mug in the shape of a pink cat,a pink cat in the shape of a coffee mug,a coffee mug,a pink cat]
prompt19	[a coffee mug in the shape of a teddy bear,a teddy bear in the shape of a coffee mug,a coffee mug,a teddy bear]
prompt20	[a coffee mug in the shape of a robot,a robot in the shape of a coffee mug,a coffee mug,a robot]
prompt21	[a coffee mug in the shape of an alien,an alien in the shape of a coffee mug,a coffee mug,an alien]
prompt22	[a coffee mug in the shape of an avocado,an avocado in the shape of a coffee mug,a coffee mug,an avocado]
prompt23	[a coffee mug in the shape of a cute raccoon,a cute raccoon in the shape of a coffee mug,a coffee mug,a cute raccoon]
prompt24	[a coffee mug in the shape of a corgi dog,a corgi dog in the shape of a coffee mug,a coffee mug,a corgi dog]
prompt25	[a coffee mug in the shape of a parrot,a parrot in the shape of a coffee mug,a coffee mug,a parrot]
prompt26	[a coffee mug in the shape of a car,a car in the shape of a coffee mug,a coffee mug,a car]
prompt27	[a coffee mug in the shape of a squirrel,a squirrel in the shape of a coffee mug,a coffee mug,a squirrel]
prompt28	[a coffee mug in the shape of a cute rabbit,a cute rabbit in the shape of a coffee mug,a coffee mug,a cute rabbit]
prompt29	[a coffee mug in the shape of pizza,pizza in the shape of a coffee mug,a coffee mug,pizza]
prompt30	[a coffee mug in the shape of muffin,muffin in the shape of a coffee mug,a coffee mug,muffin]
prompt31	[a coffee mug in the shape of icecream,icecream in the shape of a coffee mug,a coffee mug,icecream]
prompt32	[a cute dog in the shape of a pink cat,a pink cat in the shape of a cute dog,a cute dog,a pink cat]
prompt33	[a cute dog in the shape of a teddy bear,a teddy bear in the shape of a cute dog,a cute dog,a teddy bear]
prompt34	[a cute dog in the shape of a robot,a robot in the shape of a cute dog,a cute dog,a robot]
prompt35	[a cute dog in the shape of an alien,an alien in the shape of a cute dog,a cute dog,an alien]
prompt36	[a cute dog in the shape of an avocado,an avocado in the shape of a cute dog,a cute dog,an avocado]
prompt37	[a cute dog in the shape of a cute raccoon,a cute raccoon in the shape of a cute dog,a cute dog,a cute raccoon]
prompt38	[a cute dog in the shape of a corgi dog,a corgi dog in the shape of a cute dog,a cute dog,a corgi dog]
prompt39	[a cute dog in the shape of a parrot,a parrot in the shape of a cute dog,a cute dog,a parrot]
prompt40	[a cute dog in the shape of a car,a car in the shape of a cute dog,a cute dog,a car]
prompt41	[a cute dog in the shape of a squirrel,a squirrel in the shape of a cute dog,a cute dog,a squirrel]
prompt42	[a cute dog in the shape of a cute rabbit,a cute rabbit in the shape of a cute dog,a cute dog,a cute rabbit]
prompt43	[a cute dog in the shape of pizza,pizza in the shape of a cute dog,a cute dog,pizza]
prompt44	[a cute dog in the shape of muffin,muffin in the shape of a cute dog,a cute dog,muffin]
prompt45	[a cute dog in the shape of icecream,icecream in the shape of a cute dog,a cute dog,icecream]
prompt46	[a pink cat in the shape of a teddy bear,a teddy bear in the shape of a pink cat,a pink cat,a teddy bear]
prompt47	[a pink cat in the shape of a robot,a robot in the shape of a pink cat,a pink cat,a robot]
prompt48	[a pink cat in the shape of an alien,an alien in the shape of a pink cat,a pink cat,an alien]
prompt49	[a pink cat in the shape of an avocado,an avocado in the shape of a pink cat,a pink cat,an avocado]
prompt50	[a pink cat in the shape of a cute raccoon,a cute raccoon in the shape of a pink cat,a pink cat,a cute raccoon]
prompt51	[a pink cat in the shape of a corgi dog,a corgi dog in the shape of a pink cat,a pink cat,a corgi dog]
prompt52	[a pink cat in the shape of a parrot,a parrot in the shape of a pink cat,a pink cat,a parrot]
prompt53	[a pink cat in the shape of a car,a car in the shape of a pink cat,a pink cat,a car]
prompt54	[a pink cat in the shape of a squirrel,a squirrel in the shape of a pink cat,a pink cat,a squirrel]
prompt55	[a pink cat in the shape of a cute rabbit,a cute rabbit in the shape of a pink cat,a pink cat,a cute rabbit]
prompt56	[a pink cat in the shape of pizza,pizza in the shape of a pink cat,a pink cat,pizza]
prompt57	[a pink cat in the shape of muffin,muffin in the shape of a pink cat,a pink cat,muffin]
prompt58	[a pink cat in the shape of icecream,icecream in the shape of a pink cat,a pink cat,icecream]
prompt59	[a teddy bear in the shape of a robot,a robot in the shape of a teddy bear,a teddy bear,a robot]
prompt60	[a teddy bear in the shape of an alien,an alien in the shape of a teddy bear,a teddy bear,an alien]
prompt61	[a teddy bear in the shape of an avocado,an avocado in the shape of a teddy bear,a teddy bear,an avocado]
prompt62	[a teddy bear in the shape of a cute raccoon,a cute raccoon in the shape of a teddy bear,a teddy bear,a cute raccoon]
prompt63	[a teddy bear in the shape of a corgi dog,a corgi dog in the shape of a teddy bear,a teddy bear,a corgi dog]
prompt64	[a teddy bear in the shape of a parrot,a parrot in the shape of a teddy bear,a teddy bear,a parrot]
prompt65	[a teddy bear in the shape of a car,a car in the shape of a teddy bear,a teddy bear,a car]
prompt66	[a teddy bear in the shape of a squirrel,a squirrel in the shape of a teddy bear,a teddy bear,a squirrel]
prompt67	[a teddy bear in the shape of a cute rabbit,a cute rabbit in the shape of a teddy bear,a teddy bear,a cute rabbit]
prompt68	[a teddy bear in the shape of pizza,pizza in the shape of a teddy bear,a teddy bear,pizza]
prompt69	[a teddy bear in the shape of muffin,muffin in the shape of a teddy bear,a teddy bear,muffin]
prompt70	[a teddy bear in the shape of icecream,icecream in the shape of a teddy bear,a teddy bear,icecream]
prompt71	[a robot in the shape of an alien,an alien in the shape of a robot,a robot,an alien]
prompt72	[a robot in the shape of an avocado,an avocado in the shape of a robot,a robot,an avocado]
prompt73	[a robot in the shape of a cute raccoon,a cute raccoon in the shape of a robot,a robot,a cute raccoon]
prompt74	[a robot in the shape of a corgi dog,a corgi dog in the shape of a robot,a robot,a corgi dog]
prompt75	[a robot in the shape of a parrot,a parrot in the shape of a robot,a robot,a parrot]
prompt76	[a robot in the shape of a car,a car in the shape of a robot,a robot,a car]
prompt77	[a robot in the shape of a squirrel,a squirrel in the shape of a robot,a robot,a squirrel]
prompt78	[a robot in the shape of a cute rabbit,a cute rabbit in the shape of a robot,a robot,a cute rabbit]
prompt79	[a robot in the shape of pizza,pizza in the shape of a robot,a robot,pizza]
prompt80	[a robot in the shape of muffin,muffin in the shape of a robot,a robot,muffin]
prompt81	[a robot in the shape of icecream,icecream in the shape of a robot,a robot,icecream]
prompt82	[an alien in the shape of an avocado,an avocado in the shape of an alien,an alien,an avocado]
prompt83	[an alien in the shape of a cute raccoon,a cute raccoon in the shape of an alien,an alien,a cute raccoon]
prompt84	[an alien in the shape of a corgi dog,a corgi dog in the shape of an alien,an alien,a corgi dog]
prompt85	[an alien in the shape of a parrot,a parrot in the shape of an alien,an alien,a parrot]
prompt86	[an alien in the shape of a car,a car in the shape of an alien,an alien,a car]
prompt87	[an alien in the shape of a squirrel,a squirrel in the shape of an alien,an alien,a squirrel]
prompt88	[an alien in the shape of a cute rabbit,a cute rabbit in the shape of an alien,an alien,a cute rabbit]
prompt89	[an alien in the shape of pizza,pizza in the shape of an alien,an alien,pizza]
prompt90	[an alien in the shape of muffin,muffin in the shape of an alien,an alien,muffin]
prompt91	[an alien in the shape of icecream,icecream in the shape of an alien,an alien,icecream]
prompt92	[an avocado in the shape of a cute raccoon,a cute raccoon in the shape of an avocado,an avocado,a cute raccoon]
prompt93	[an avocado in the shape of a corgi dog,a corgi dog in the shape of an avocado,an avocado,a corgi dog]
prompt94	[an avocado in the shape of a parrot,a parrot in the shape of an avocado,an avocado,a parrot]
prompt95	[an avocado in the shape of a car,a car in the shape of an avocado,an avocado,a car]
prompt96	[an avocado in the shape of a squirrel,a squirrel in the shape of an avocado,an avocado,a squirrel]
prompt97	[an avocado in the shape of a cute rabbit,a cute rabbit in the shape of an avocado,an avocado,a cute rabbit]
prompt98	[an avocado in the shape of pizza,pizza in the shape of an avocado,an avocado,pizza]
prompt99	[an avocado in the shape of muffin,muffin in the shape of an avocado,an avocado,muffin]
prompt100	[an avocado in the shape of icecream,icecream in the shape of an avocado,an avocado,icecream]
prompt101	[a cute raccoon in the shape of a corgi dog,a corgi dog in the shape of a cute raccoon,a cute raccoon,a corgi dog]
prompt102	[a cute raccoon in the shape of a parrot,a parrot in the shape of a cute raccoon,a cute raccoon,a parrot]
prompt103	[a cute raccoon in the shape of a car,a car in the shape of a cute raccoon,a cute raccoon,a car]
prompt104	[a cute raccoon in the shape of a squirrel,a squirrel in the shape of a cute raccoon,a cute raccoon,a squirrel]
prompt105	[a cute raccoon in the shape of a cute rabbit,a cute rabbit in the shape of a cute raccoon,a cute raccoon,a cute rabbit]
prompt106	[a cute raccoon in the shape of pizza,pizza in the shape of a cute raccoon,a cute raccoon,pizza]
prompt107	[a cute raccoon in the shape of muffin,muffin in the shape of a cute raccoon,a cute raccoon,muffin]
prompt108	[a cute raccoon in the shape of icecream,icecream in the shape of a cute raccoon,a cute raccoon,icecream]
prompt109	[a corgi dog in the shape of a parrot,a parrot in the shape of a corgi dog,a corgi dog,a parrot]
prompt110	[a corgi dog in the shape of a car,a car in the shape of a corgi dog,a corgi dog,a car]
prompt111	[a corgi dog in the shape of a squirrel,a squirrel in the shape of a corgi dog,a corgi dog,a squirrel]
prompt112	[a corgi dog in the shape of a cute rabbit,a cute rabbit in the shape of a corgi dog,a corgi dog,a cute rabbit]
prompt113	[a corgi dog in the shape of pizza,pizza in the shape of a corgi dog,a corgi dog,pizza]
prompt114	[a corgi dog in the shape of muffin,muffin in the shape of a corgi dog,a corgi dog,muffin]
prompt115	[a corgi dog in the shape of icecream,icecream in the shape of a corgi dog,a corgi dog,icecream]
prompt116	[a parrot in the shape of a car,a car in the shape of a parrot,a parrot,a car]
prompt117	[a parrot in the shape of a squirrel,a squirrel in the shape of a parrot,a parrot,a squirrel]
prompt118	[a parrot in the shape of a cute rabbit,a cute rabbit in the shape of a parrot,a parrot,a cute rabbit]
prompt119	[a parrot in the shape of pizza,pizza in the shape of a parrot,a parrot,pizza]
prompt120	[a parrot in the shape of muffin,muffin in the shape of a parrot,a parrot,muffin]
prompt121	[a parrot in the shape of icecream,icecream in the shape of a parrot,a parrot,icecream]
prompt122	[a car in the shape of a squirrel,a squirrel in the shape of a car,a car,a squirrel]
prompt123	[a car in the shape of a cute rabbit,a cute rabbit in the shape of a car,a car,a cute rabbit]
prompt124	[a car in the shape of pizza,pizza in the shape of a car,a car,pizza]
prompt125	[a car in the shape of muffin,muffin in the shape of a car,a car,muffin]
prompt126	[a car in the shape of icecream,icecream in the shape of a car,a car,icecream]
prompt127	[a squirrel in the shape of a cute rabbit,a cute rabbit in the shape of a squirrel,a squirrel,a cute rabbit]
prompt128	[a squirrel in the shape of pizza,pizza in the shape of a squirrel,a squirrel,pizza]
prompt129	[a squirrel in the shape of muffin,muffin in the shape of a squirrel,a squirrel,muffin]
prompt130	[a squirrel in the shape of icecream,icecream in the shape of a squirrel,a squirrel,icecream]
prompt131	[a cute rabbit in the shape of pizza,pizza in the shape of a cute rabbit,a cute rabbit,pizza]
